"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 21:09:10 GMT 2022","Sun Jul 03 21:09:10 GMT 2022","843","","TestRegistration","","TestRegistration","RegistrationFromFileTest","Regisztráció fájlból beolvasott adatokkal",""
"passed","Sun Jul 03 21:09:13 GMT 2022","Sun Jul 03 21:09:14 GMT 2022","1306","","TestContent","","TestContent","DeleteProfile","Profil törlése",""
"passed","Sun Jul 03 21:09:04 GMT 2022","Sun Jul 03 21:09:05 GMT 2022","1074","","TestPopup","","TestPopup","TermsAndConditionsShowsTest","Adatkezelési tájékoztató megjelenik",""
"passed","Sun Jul 03 21:09:05 GMT 2022","Sun Jul 03 21:09:06 GMT 2022","572","","TestPopup","","TestPopup","TermsAndConditionsDisappearsTest","Adatkezelési tájékoztató elfogadás után eltűnik",""
"passed","Sun Jul 03 21:09:14 GMT 2022","Sun Jul 03 21:09:15 GMT 2022","1271","","TestContent","","TestContent","ProfileEditTest","Profil módosítása",""
"passed","Sun Jul 03 21:09:08 GMT 2022","Sun Jul 03 21:09:09 GMT 2022","654","","TestLogin","","TestLogin","LoginWithoutRegistrationTest","Belépés regisztráció nélkül",""
"passed","Sun Jul 03 21:09:06 GMT 2022","Sun Jul 03 21:09:07 GMT 2022","1013","","TestLogin","","TestLogin","LoginWithoutPasswordTest","Belépés jelszó nélkül",""
"passed","Sun Jul 03 21:09:07 GMT 2022","Sun Jul 03 21:09:08 GMT 2022","1023","","TestLogin","","TestLogin","LoginTest","Belépés valós adatokkal",""
"passed","Sun Jul 03 21:09:10 GMT 2022","Sun Jul 03 21:09:12 GMT 2022","1154","","TestContent","","TestContent","CheckContentNumberTest","Bejegyzések számának ellenőrzése",""
"passed","Sun Jul 03 21:09:09 GMT 2022","Sun Jul 03 21:09:10 GMT 2022","801","","TestRegistration","","TestRegistration","RegistrationTest","Regisztráció manuálisan beírt adatokkal",""
"passed","Sun Jul 03 21:09:15 GMT 2022","Sun Jul 03 21:09:16 GMT 2022","1071","","TestContent","","TestContent","CheckSecondPageTest","Oldal lapozás tesztelése",""
"passed","Sun Jul 03 21:09:12 GMT 2022","Sun Jul 03 21:09:13 GMT 2022","1074","","TestContent","","TestContent","Logout","Kijelentkezés",""
"passed","Sun Jul 03 21:09:16 GMT 2022","Sun Jul 03 21:09:17 GMT 2022","1190","","TestContent","","TestContent","CheckFirstArticleTitle","Bejegyzés címének ellenőrzése",""
