"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 14:11:28 GMT 2022","Fri Jul 01 14:11:29 GMT 2022","1225","","TestRegistration","","TestRegistration","RegistrationFromFileTest","Regisztráció fájlból beolvasott adatokkal",""
"passed","Fri Jul 01 14:11:35 GMT 2022","Fri Jul 01 14:11:37 GMT 2022","1259","","TestContent","","TestContent","CheckSecondPageTest","Oldal lapozás tesztelése",""
"passed","Fri Jul 01 14:11:34 GMT 2022","Fri Jul 01 14:11:35 GMT 2022","1600","","TestContent","","TestContent","ProfileEditTest","Profil módosítása",""
"passed","Fri Jul 01 14:11:25 GMT 2022","Fri Jul 01 14:11:26 GMT 2022","1344","","TestLogin","","TestLogin","LoginTest","Belépés valós adatokkal",""
"passed","Fri Jul 01 14:11:37 GMT 2022","Fri Jul 01 14:11:38 GMT 2022","1392","","TestContent","","TestContent","CheckFirstArticleTitle","Bejegyzés címének ellenőrzése",""
"passed","Fri Jul 01 14:11:26 GMT 2022","Fri Jul 01 14:11:27 GMT 2022","758","","TestLogin","","TestLogin","LoginWithoutRegistrationTest","Belépés regisztráció nélkül",""
"passed","Fri Jul 01 14:11:27 GMT 2022","Fri Jul 01 14:11:28 GMT 2022","1017","","TestRegistration","","TestRegistration","RegistrationTest","Regisztráció manuálisan beírt adatokkal",""
"passed","Fri Jul 01 14:11:32 GMT 2022","Fri Jul 01 14:11:34 GMT 2022","1615","","TestContent","","TestContent","DeleteProfile","Profil törlése",""
"passed","Fri Jul 01 14:11:22 GMT 2022","Fri Jul 01 14:11:23 GMT 2022","1261","","TestPopup","","TestPopup","TermsAndConditionsShowsTest","Adatkezelési tájékoztató megjelenik",""
"passed","Fri Jul 01 14:11:29 GMT 2022","Fri Jul 01 14:11:31 GMT 2022","1306","","TestContent","","TestContent","CheckContentNumberTest","Bejegyzések számának ellenőrzése",""
"passed","Fri Jul 01 14:11:23 GMT 2022","Fri Jul 01 14:11:24 GMT 2022","661","","TestPopup","","TestPopup","TermsAndConditionsDisappearsTest","Adatkezelési tájékoztató elfogadás után eltűnik",""
"passed","Fri Jul 01 14:11:24 GMT 2022","Fri Jul 01 14:11:25 GMT 2022","1229","","TestLogin","","TestLogin","LoginWithoutPasswordTest","Belépés jelszó nélkül",""
"passed","Fri Jul 01 14:11:31 GMT 2022","Fri Jul 01 14:11:32 GMT 2022","1575","","TestContent","","TestContent","Logout","Kijelentkezés",""
