"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 14:34:36 GMT 2022","Fri Jul 01 14:34:37 GMT 2022","1191","","TestLogin","","TestLogin","LoginWithoutPasswordTest","Belépés jelszó nélkül",""
"passed","Fri Jul 01 14:34:47 GMT 2022","Fri Jul 01 14:34:48 GMT 2022","1357","","TestContent","","TestContent","CheckSecondPageTest","Oldal lapozás tesztelése",""
"passed","Fri Jul 01 14:34:39 GMT 2022","Fri Jul 01 14:34:40 GMT 2022","965","","TestRegistration","","TestRegistration","RegistrationTest","Regisztráció manuálisan beírt adatokkal",""
"passed","Fri Jul 01 14:34:40 GMT 2022","Fri Jul 01 14:34:41 GMT 2022","954","","TestRegistration","","TestRegistration","RegistrationFromFileTest","Regisztráció fájlból beolvasott adatokkal",""
"passed","Fri Jul 01 14:34:34 GMT 2022","Fri Jul 01 14:34:35 GMT 2022","1181","","TestPopup","","TestPopup","TermsAndConditionsShowsTest","Adatkezelési tájékoztató megjelenik",""
"passed","Fri Jul 01 14:34:38 GMT 2022","Fri Jul 01 14:34:39 GMT 2022","772","","TestLogin","","TestLogin","LoginWithoutRegistrationTest","Belépés regisztráció nélkül",""
"passed","Fri Jul 01 14:34:45 GMT 2022","Fri Jul 01 14:34:47 GMT 2022","1454","","TestContent","","TestContent","ProfileEditTest","Profil módosítása",""
"passed","Fri Jul 01 14:34:35 GMT 2022","Fri Jul 01 14:34:36 GMT 2022","725","","TestPopup","","TestPopup","TermsAndConditionsDisappearsTest","Adatkezelési tájékoztató elfogadás után eltűnik",""
"passed","Fri Jul 01 14:34:41 GMT 2022","Fri Jul 01 14:34:42 GMT 2022","1177","","TestContent","","TestContent","CheckContentNumberTest","Bejegyzések számának ellenőrzése",""
"passed","Fri Jul 01 14:34:48 GMT 2022","Fri Jul 01 14:34:49 GMT 2022","1308","","TestContent","","TestContent","CheckFirstArticleTitle","Bejegyzés címének ellenőrzése",""
"passed","Fri Jul 01 14:34:37 GMT 2022","Fri Jul 01 14:34:38 GMT 2022","1219","","TestLogin","","TestLogin","LoginTest","Belépés valós adatokkal",""
"passed","Fri Jul 01 14:34:42 GMT 2022","Fri Jul 01 14:34:44 GMT 2022","1207","","TestContent","","TestContent","Logout","Kijelentkezés",""
"passed","Fri Jul 01 14:34:44 GMT 2022","Fri Jul 01 14:34:45 GMT 2022","1512","","TestContent","","TestContent","DeleteProfile","Profil törlése",""
